"Site","Date","Acetaminophen","Amantadine","AzelaicAcid","Bamethan","Bupropion","Caffeine","Carbamazepine","Cetirizine","Citalopram","Desipramine","DesvenlafaxineODesmethylVenlafaxine","Dexpanthenol","Diltiazem","Diphenhydramine","Dopamine","Fexofenadine","Flecainide","Fluconazole","Gabapentin","Gemfibrozil","Irbesartan","Lamotrigine","Levetiracetam","Lidocaine","Losartan","Metformin","Methocarbamol","Metoprolol","Nadolol","Naproxen","Oxcarbazepine","Propranolol","Protriptyline","Sertraline","Sulfamethoxazole","Sulfapyridine","Trimethoprim","Venlafaxine","1011Dihydro10hydroxyCarbamazepine","2Ethyl2phenylmalonamide","Benzoylecgonine","HydroxyBupropion","N4Acetylsulfamethoxazole","RitalinicAcid","4Chloro2methylphenoxyaceticAcidMCPA","24DichlorophenoxyaceticAcid24D","AbscisicAcid","Ametryn","Atrazine","Carbaryl","Carbendazim","Clothianidin","Diuron","EthylButylacetylaminopropionate","Imazapyr","Imidacloprid","Mecoprop","Metalaxyl","Metolachlor","Monuron","Prometon","Propazine","Simazine","Thiamethoxam","Atrazine2hydroxy","Atrazinedesethyl","Atrazinedesisopropyl","MetolachlorEthaneSulfonicAcidMetolachlorESA","MetolachlorOxanilicAcidMetolachlorOA","2Hydroxybenzothiazole","5Methyl1Hbenzotriazole","1HBenzotriazole","Benzophenone","Benzophenone3Oxybenzone","Benzothiazole","NNDiethyl3methylbenzamideDEET","Sucralose","Triclosan","Galaxolidone"
"Salmon Creek","9/21/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,19.5,NA,NA,NA,NA,NA,16.5,45,NA,NA,NA,NA,NA,401.5,77.5,39,1303.5,89,NA,NA,NA,538,26,168.5,13,52.5,NA,31.5
"Salmon Creek","5/6/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,158.5,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,28,276.5,NA,NA,NA,NA,NA,319.5,42.5,26.5,4770,127,NA,44,NA,121,NA,190,NA,49.5,NA,227.5
"Salmon Creek","5/27/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,619.5,NA,NA,29.5,NA,NA,NA,NA,NA,32,568.5,NA,NA,47,NA,15,304,58.5,34,2776,142.5,NA,NA,NA,106.5,NA,212.5,4.5,38.5,NA,111.5
"Sauquoit Creek","9/1/18",NA,NA,NA,NA,NA,14.5,NA,NA,8,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,12.5,NA,7,NA,NA,NA,5,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.5,NA,NA,20,NA,NA,NA,NA,NA,14.5,55.5,48.5,NA,21,NA,15,NA,NA,NA,54.5,18.5,NA,NA,NA,NA,53,79.5,NA,NA,NA,NA,NA,28.5,353.5
"Sauquoit Creek","9/21/18",NA,14,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,9,NA,217.5,NA,6,NA,136,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,24,NA,NA,NA,NA,7,NA,NA,20,NA,NA,NA,NA,NA,15,NA,13.5,NA,17.5,NA,15,NA,NA,NA,57.5,20,NA,272,17,59.5,51.5,71.5,495.5,28,169,NA,73.5,NA,52.5
"Sauquoit Creek","5/6/19",NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,28,NA,NA,NA,NA,NA,14.5,20,30.5,NA,18.5,NA,14,NA,NA,NA,92.5,22.5,NA,1419.5,25,NA,48.5,130,103,NA,225.5,12,57.5,54.5,55.5
"Sauquoit Creek","5/27/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,15.5,NA,NA,NA,27,NA,15,NA,NA,NA,75,23.5,NA,695.5,17,NA,45,NA,293,NA,217,NA,35.5,NA,194.5
"Scriba Creek","7/26/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,75,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,NA,27.5
"Scriba Creek","8/20/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Scriba Creek","6/11/19",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,118,NA,192,NA,NA,NA,64.5
